zoning date,Zone Cost
2014-12-03 00:00:00,325.0
2014-12-17 00:00:00,325.0
2015-01-12 00:00:00,325.0
2015-01-16 00:00:00,325.0
2015-01-26 00:00:00,325.0
2015-01-30 00:00:00,325.0
2015-02-16 00:00:00,325.0
2015-03-12 00:00:00,325.0
2015-03-30 00:00:00,325.0
2015-04-13 00:00:00,325.0
2015-04-15 00:00:00,325.0
2015-04-22 00:00:00,325.0
2015-05-18 00:00:00,325.0
2015-05-28 00:00:00,325.0
2015-06-11 00:00:00,325.0
2015-06-26 00:00:00,325.0
2015-07-09 00:00:00,325.0
2015-07-30 00:00:00,325.0
2015-08-06 00:00:00,325.0
2015-08-17 00:00:00,325.0
2015-08-21 00:00:00,325.0
2015-09-04 00:00:00,325.0
2015-09-16 00:00:00,325.0
2015-10-02 00:00:00,325.0
2015-10-26 00:00:00,325.0
2015-11-03 00:00:00,325.0
2015-11-16 00:00:00,325.0
2015-11-18 00:00:00,325.0
2015-11-23 00:00:00,325.0
2015-12-14 00:00:00,325.0
2015-12-21 00:00:00,325.0
2016-01-14 00:00:00,325.0
2016-01-15 00:00:00,325.0
2016-02-01 00:00:00,325.0
2016-02-05 00:00:00,325.0
2016-02-25 00:00:00,325.0
2016-03-15 00:00:00,325.0
2016-03-25 00:00:00,325.0
2016-04-04 00:00:00,325.0
2016-04-10 00:00:00,325.0
2016-04-19 00:00:00,325.0
2016-05-13 00:00:00,325.0
2016-05-18 00:00:00,325.0
2016-05-26 00:00:00,325.0
2016-06-14 00:00:00,400.0
2016-06-28 00:00:00,325.0
2016-08-03 00:00:00,325.0
2016-09-02 00:00:00,325.0
2016-09-06 00:00:00,325.0
2016-09-19 00:00:00,325.0
2016-09-29 00:00:00,325.0
2016-10-12 00:00:00,325.0
2016-11-04 00:00:00,325.0
2016-11-14 00:00:00,325.0
2016-11-29 00:00:00,325.0
2016-12-05 00:00:00,325.0
2016-12-13 00:00:00,325.0
2016-12-14 00:00:00,325.0
2016-12-30 00:00:00,325.0
2017-01-20 00:00:00,325.0
2017-02-01 00:00:00,325.0
2017-02-15 00:00:00,325.0
2017-03-03 00:00:00,325.0
2017-03-20 00:00:00,325.0
2017-03-30 00:00:00,325.0
2017-04-07 00:00:00,325.0
2017-04-14 00:00:00,325.0
2017-04-27 00:00:00,325.0
2017-05-08 00:00:00,325.0
2017-05-15 00:00:00,325.0
2017-05-23 00:00:00,325.0
2017-06-05 00:00:00,325.0
2017-06-19 00:00:00,325.0
2017-07-01 00:00:00,325.0
2017-07-14 00:00:00,325.0
2017-07-19 00:00:00,325.0
2017-08-03 00:00:00,325.0
2017-08-10 00:00:00,325.0
2017-08-17 00:00:00,325.0
2017-08-30 00:00:00,325.0
2017-09-11 00:00:00,325.0
2017-09-13 00:00:00,325.0
2017-09-28 00:00:00,325.0
2017-10-06 00:00:00,325.0
2017-10-09 00:00:00,325.0
2017-10-27 00:00:00,325.0
2017-10-31 00:00:00,325.0
2017-11-13 00:00:00,325.0
2017-11-27 00:00:00,325.0
2017-12-05 00:00:00,325.0
2017-12-07 00:00:00,325.0
2017-12-14 00:00:00,325.0
2017-12-22 00:00:00,325.0
2017-12-28 00:00:00,325.0
2018-01-29 00:00:00,325.0
2018-01-30 00:00:00,325.0
2018-02-16 00:00:00,325.0
2018-03-06 00:00:00,325.0
2018-03-18 00:00:00,325.0
2018-04-04 00:00:00,325.0
2018-04-05 00:00:00,325.0
2018-04-16 00:00:00,325.0
2018-04-25 00:00:00,325.0
2018-04-28 00:00:00,325.0
2018-05-10 00:00:00,325.0
2018-05-12 00:00:00,325.0
2018-05-18 00:00:00,325.0
2018-06-04 00:00:00,325.0
2018-06-08 00:00:00,325.0
2018-06-16 00:00:00,325.0
2018-06-30 00:00:00,325.0
2018-07-10 00:00:00,325.0
2018-07-24 00:00:00,325.0
2018-07-26 00:00:00,325.0
2018-08-14 00:00:00,595.0
2018-08-20 00:00:00,595.0
2018-08-27 00:00:00,595.0
2018-09-14 00:00:00,595.0
2018-09-17 00:00:00,595.0
2018-09-25 00:00:00,595.0
2018-10-10 00:00:00,595.0
2018-10-12 00:00:00,595.0
2018-11-01 00:00:00,595.0
2018-11-07 00:00:00,595.0
2018-11-19 00:00:00,595.0
2018-12-04 00:00:00,595.0
2018-12-06 00:00:00,595.0
2018-12-17 00:00:00,595.0
2019-01-04 00:00:00,595.0
2019-01-11 00:00:00,595.0
2019-01-21 00:00:00,595.0
2019-02-11 00:00:00,595.0
2019-02-19 00:00:00,595.0
2019-02-27 00:00:00,595.0
2019-03-20 00:00:00,595.0
2019-03-25 00:00:00,595.0
2019-04-05 00:00:00,595.0
2019-04-15 00:00:00,595.0
2019-04-18 00:00:00,595.0
2019-04-25 00:00:00,595.0
2019-05-08 00:00:00,595.0
2019-05-13 00:00:00,595.0
2019-05-21 00:00:00,595.0
2019-06-07 00:00:00,595.0
2019-06-18 00:00:00,595.0
2019-06-19 00:00:00,595.0
2019-07-08 00:00:00,595.0
2019-07-11 00:00:00,595.0
2019-07-17 00:00:00,595.0
2019-08-05 00:00:00,595.0
2019-08-07 00:00:00,595.0
2019-08-20 00:00:00,595.0
2019-08-28 00:00:00,595.0
2019-09-04 00:00:00,595.0
2019-09-19 00:00:00,595.0
2019-09-30 00:00:00,595.0
2019-10-02 00:00:00,595.0
2019-10-15 00:00:00,595.0
2019-10-18 00:00:00,595.0
2019-11-08 00:00:00,595.0
2019-11-18 00:00:00,595.0
2019-11-19 00:00:00,595.0
2019-11-28 00:00:00,595.0
2019-11-29 00:00:00,595.0
2019-12-16 00:00:00,595.0
2019-12-27 00:00:00,595.0
2020-01-09 00:00:00,595.0
2020-01-13 00:00:00,595.0
2020-01-29 00:00:00,595.0
2020-02-05 00:00:00,595.0
2020-02-18 00:00:00,595.0
2020-02-28 00:00:00,595.0
2020-03-06 00:00:00,595.0
2020-03-20 00:00:00,595.0
2020-03-24 00:00:00,595.0
2020-06-01 00:00:00,595.0
2020-06-22 00:00:00,595.0
2020-06-26 00:00:00,595.0
